Initial_temp;Epochs;Time[ms];Distance;Path
gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (2 zamiana) (chlodzenie geometryczne) (n=17)
575911.0000;28217;112.7310;2915
616372.0000;13837;54.6780;3053
493394.0000;11966;47.9670;2949
567477.0000;18844;75.0010;2738
571922.0000;10025;40.9750;2947
546050.0000;14191;58.7340;2962
630277.0000;13663;54.4490;2943
523711.0000;21135;82.5930;3002
462051.0000;21253;83.3120;2874
493052.0000;20531;83.2270;2870
509350.0000;31313;125.1660;2952
578305.0000;13971;55.7050;2595
515733.0000;17719;70.7140;2984
544226.0000;15132;60.7540;2915
484960.0000;14782;58.7210;2985
478919.0000;20065;79.3510;2851
549355.0000;24826;99.7900;2840
497041.0000;21492;85.8460;2922
539553.0000;20527;81.9900;2617
577849.0000;16575;65.5020;2712
550153.0000;26300;106.1170;2777
516075.0000;27833;117.1560;2681

gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (2 zamiana) (chlodzenie logarytmiczne) (n=17)
549697.0000;10439;29.8510;2937
623780.0000;21546;57.5170;2883
533285.0000;27307;72.6010;2862
536362.0000;15489;42.5540;2766
579900.0000;17063;47.3200;2834
480401.0000;13931;37.7440;2861
581724.0000;25298;66.5590;2597
514935.0000;25290;67.0960;2740
555852.0000;12719;34.0530;2885
489063.0000;19553;53.9090;2928
588790.0000;23636;61.3470;2922
526902.0000;28300;76.0180;2978
501942.0000;10327;27.0950;3070
532031.0000;12558;34.9670;2744
530891.0000;15042;40.6390;2979
585143.0000;11464;32.7210;2870
595629.0000;22703;63.5980;3012
550951.0000;21997;60.6330;2856
628339.0000;29867;80.3000;2906
503196.0000;28735;76.4380;2941
477893.0000;15333;40.6000;3004
433557.0000;11707;31.4800;3076
564628.0000;12585;34.6070;2872
575569.0000;34233;90.8200;2731
502854.0000;10429;28.9220;3026
507071.0000;27294;73.8900;2937
591526.0000;12468;34.8890;2987
587878.0000;12237;32.6480;3022
607824.0000;20921;58.6330;2892
529866.0000;18991;50.8790;2984
536590.0000;18908;50.7910;3026
436293.0000;15828;42.5260;2875
580812.0000;15126;41.8690;2840
597338.0000;24407;65.7790;2775
450198.0000;18718;49.5170;3021
489063.0000;19330;52.5240;2997
632898.0000;18410;50.0200;2853
520634.0000;15686;43.0460;3005
484618.0000;11545;31.7280;2743
554826.0000;13800;41.4970;3105
555396.0000;10281;30.6130;2898
473790.0000;14262;40.4600;3074
451337.0000;19044;53.1210;2879
574885.0000;23519;62.9200;2626
497953.0000;11636;31.4170;2922
608052.0000;14889;43.3010;3091
533969.0000;22454;60.3750;3007
439256.0000;15345;41.6600;2860
499320.0000;13974;37.3630;3023
553344.0000;27196;73.6870;2700
495901.0000;17361;46.4590;3039
583205.0000;14971;40.2380;2932
503424.0000;17321;46.8440;3123
590044.0000;34867;92.6660;2935
489177.0000;17662;48.8320;2811
534766.0000;10645;28.4410;3037
554142.0000;24864;68.3410;2876
484732.0000;28512;77.2480;2799
509350.0000;16496;46.4900;2919
500004.0000;26814;70.7420;2847
539895.0000;24939;67.2520;2974
602353.0000;11313;31.4160;3016
479261.0000;13469;37.1650;2953
561436.0000;18656;49.7920;2925
552774.0000;11673;31.4050;2786
590842.0000;14117;38.3540;2947
607254.0000;18575;49.1830;3088
530663.0000;13696;37.1710;2883
602125.0000;15353;41.6930;3060
501030.0000;10795;29.6000;2695
514821.0000;18597;50.1140;2944
449400.0000;10415;29.3590;2967
480401.0000;13126;36.6300;3057
528156.0000;10279;28.1910;3130
402556.0000;19635;53.6930;2947
538072.0000;18052;49.0350;2988
495901.0000;14265;39.6070;2826
599048.0000;22399;60.1600;2946
633126.0000;26897;71.7180;2926
481882.0000;23121;62.1840;2842
483364.0000;10156;29.8620;2876
574315.0000;17620;48.3920;3034
508552.0000;15024;40.1940;3023
483706.0000;11086;30.5570;2839
576823.0000;13311;37.9350;3065
494989.0000;15927;43.2390;3075
575113.0000;17100;46.9050;2967
490430.0000;35271;94.6560;2897
592209.0000;12316;34.2690;2984
608052.0000;10908;31.0330;3099
521431.0000;11895;32.8140;2860
532031.0000;18846;50.5770;2999
516986.0000;10574;28.7640;3146
506843.0000;15997;43.9840;3087
462393.0000;12292;33.7850;2922
542175.0000;14925;41.6800;2984
519494.0000;26148;70.8030;2858
537502.0000;10262;28.3580;2835
472878.0000;17652;47.5550;3016
490089.0000;11114;29.7040;3027

gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (3 zamiana) (chlodzenie logarytmiczne) (n=17)
527130.0000;12993;52.7300;3095
518582.0000;14705;61.0780;3005
527016.0000;16158;68.6780;2907
461595.0000;23687;94.8340;3030
604860.0000;13848;57.0120;2920
520976.0000;13610;56.2990;3005
573973.0000;16486;67.4140;2951
575797.0000;18674;77.3030;2734
532829.0000;17948;72.8560;2733
507299.0000;30983;125.2890;2799
473790.0000;11546;48.5530;3076
506273.0000;27445;108.6440;2842
564058.0000;27156;108.7780;2870
512541.0000;10166;40.4460;2876
441194.0000;12755;51.7130;3004
516531.0000;24501;102.4080;3002
435723.0000;17413;69.7110;2751
529182.0000;21034;84.4810;2817
559955.0000;16745;67.0860;2751
550609.0000;18702;83.4400;2922
515505.0000;15095;71.2940;2964
558701.0000;17929;80.7330;3016
562690.0000;19698;83.9240;2771
521773.0000;20038;84.9140;2931
521090.0000;20059;80.4300;2901
571238.0000;11046;45.5900;3087
542859.0000;27316;109.1730;2946
521773.0000;32027;130.8430;2657
578988.0000;22905;92.6650;2948
597566.0000;14136;56.6260;2943
647487.0000;10780;44.0490;3047
515733.0000;14081;56.8190;2994
529068.0000;27141;111.0070;2986
547304.0000;28434;115.8390;2795
583433.0000;10144;42.7910;2774
474018.0000;13338;55.1980;3049
505931.0000;18205;72.7240;2960
628795.0000;11652;48.1470;3023
550609.0000;11550;47.7150;3010
481427.0000;19904;80.7900;2863
515619.0000;15436;65.1260;2645
500232.0000;30226;123.1830;3038
607026.0000;25768;102.7450;2770
548671.0000;21065;86.6520;2933
469231.0000;10612;42.7580;2884
487467.0000;11391;47.7190;2785
537958.0000;29392;119.4530;2855
444385.0000;16029;65.8800;2862
517100.0000;20292;81.8830;2839
453845.0000;23545;101.1470;2817
480629.0000;20251;84.8070;2831
575911.0000;19251;79.2020;2826
484504.0000;22294;89.1950;2977
551976.0000;10164;42.9820;2941
502968.0000;11512;48.9750;2907
520862.0000;27503;110.6790;2795
553116.0000;27628;110.4290;2743
570098.0000;27702;110.6820;2845
556649.0000;12533;51.8600;2946
465698.0000;26978;110.0880;2759
579444.0000;11940;48.6950;2844
503538.0000;11838;47.9600;3013
453047.0000;22582;90.8710;2977
502740.0000;22926;93.8820;2831
554484.0000;10774;44.7710;2803
547190.0000;27599;112.5170;2787
537958.0000;11740;50.9620;2707
471853.0000;12474;50.6060;2864
564286.0000;13675;56.2980;2939
528840.0000;13258;53.3810;2859
516645.0000;11647;47.9600;2865
532145.0000;10055;42.8630;2870
396402.0000;21355;85.4770;2973
557903.0000;15791;63.8540;2884
558701.0000;14292;58.2210;3059
563374.0000;13125;53.9460;2992
496471.0000;14266;58.4580;2943
530777.0000;20030;82.0170;2959
497725.0000;15028;61.5650;3096
447006.0000;17128;69.9810;2968
509350.0000;41791;170.1330;2909
574315.0000;17825;74.0310;3064
504107.0000;24407;97.9210;2901
528042.0000;15027;61.3000;2821
506615.0000;23344;94.0860;2907
549811.0000;11921;54.8000;3001
521090.0000;11205;54.0250;2952
527700.0000;11526;54.8820;3005
431392.0000;14179;63.4730;2860
581154.0000;10329;45.1960;3089
593235.0000;22037;93.0450;2706
468206.0000;21841;88.1470;2823
470827.0000;16815;68.6640;3070
525307.0000;18855;76.3680;2956
572606.0000;19901;82.0340;2994
585485.0000;13176;56.6520;2913
527244.0000;15269;62.3170;2878
559271.0000;26532;106.0610;2879
560639.0000;12784;52.0010;2966
552774.0000;19769;80.1630;2861

gr21.txt;2707;[0 6 7 5 15 4 8 2 1 20 14 13 12 17 9 16 18 19 10 3 11 0]  (2 zamiana) (chlodzenie geometryczne) (n=21)
790068.0000;26115;70.5850;5255
859593.0000;15483;42.2680;5145
943477.0000;17533;47.2500;4936
816396.0000;10586;29.5670;5485
898344.0000;14816;41.1630;5405
843636.0000;12100;33.2430;5232
959662.0000;10989;29.6850;5136
963537.0000;26434;72.3710;5186
876803.0000;18466;50.6700;5076
878398.0000;12071;33.2710;5384
902789.0000;19597;52.3480;4615
817650.0000;13951;37.8480;5011
904840.0000;14619;40.6470;4865
992144.0000;13726;40.7470;5054
951456.0000;12246;36.0380;5216
868369.0000;19788;53.5590;4887
894241.0000;23443;62.0480;5165
817308.0000;10254;28.1330;4671
883983.0000;23996;66.9800;5041
854806.0000;18263;48.9160;4708
861644.0000;18426;50.7720;4994
951456.0000;23298;63.8910;5038
830757.0000;11337;31.9790;4918
964791.0000;13222;35.8210;5125
863582.0000;15483;42.4400;4944
786877.0000;14768;39.5910;4584
913274.0000;17325;47.6340;4933
901763.0000;21333;58.3490;4544
1019498.0000;11230;32.3420;5407
902333.0000;16441;46.6480;4918
892987.0000;12618;35.7620;5265
897204.0000;22003;59.4980;5048
862670.0000;11527;31.5890;5245
871104.0000;27884;76.5380;4960
972199.0000;18475;51.4990;5110
769781.0000;12309;34.1060;5147
904042.0000;17626;47.0800;5104
886832.0000;14840;40.1130;5179
930370.0000;16641;45.3950;4890
912477.0000;13980;37.8480;5039
910767.0000;18750;52.0720;5299
906322.0000;13166;35.7870;4634
806367.0000;29376;79.5790;5070
937323.0000;13626;36.3540;5073
1000692.0000;24157;66.1990;5087
881931.0000;13670;37.1680;4817
923532.0000;27677;73.6530;4571
806025.0000;10701;29.9690;5033
933790.0000;10565;29.5420;4920
825400.0000;10079;27.2360;4803
834176.0000;22326;61.2230;4817
904384.0000;17797;49.0600;4556
937779.0000;10157;28.9020;5037
852526.0000;13291;37.1880;4867
863810.0000;11178;30.9190;4726
827908.0000;47317;127.3010;4909
761119.0000;11587;31.4770;5243
756446.0000;26040;72.9470;4890
789498.0000;10471;30.1830;5234
800554.0000;20398;56.0970;5105
891277.0000;20800;57.7140;4871
838051.0000;19867;54.6630;4736
900167.0000;15627;43.3660;5078
860846.0000;30918;84.8350;5063
853210.0000;11444;32.6170;5112
734335.0000;10721;29.1580;5169
857883.0000;23649;65.5620;4977
870534.0000;12754;35.1940;5482
921936.0000;13265;37.9920;5338
790182.0000;16913;46.3750;4824
948606.0000;13209;36.1520;5317
901193.0000;21089;56.9640;5074
835088.0000;12865;34.4760;5386
791550.0000;20462;55.9280;4847
836114.0000;22193;60.5700;5256
990435.0000;12327;33.4250;5356
859821.0000;10937;32.0080;4406
865063.0000;20216;56.6450;4639
834860.0000;11990;32.0450;5263
851842.0000;18346;50.7390;5241
944161.0000;15698;41.5180;5125
981659.0000;24555;66.2210;4769
928547.0000;11347;30.8090;5010
876917.0000;14861;39.8580;5332
913730.0000;13214;36.4780;5211
845688.0000;20540;55.0540;5220
1001832.0000;20504;57.3380;4894
1017903.0000;14314;47.1880;4975
945415.0000;23039;72.2470;5058
838051.0000;14050;42.4190;4962
932878.0000;12556;36.8180;4981
834860.0000;10887;32.2750;4817
971287.0000;25110;69.7300;4970
945985.0000;24033;65.5140;5158
849107.0000;19558;52.9810;4871
849563.0000;12062;32.4870;4954
965019.0000;16058;43.4110;5170
977898.0000;24366;67.6880;5113
810812.0000;11163;30.8390;5399
770237.0000;13014;35.9250;4781

gr21.txt;2707;[0 6 7 5 15 4 8 2 1 20 14 13 12 17 9 16 18 19 10 3 11 0]  (3 zamiana) (chlodzenie geometryczne) (n=21)
778785.0000;32789;130.3090;4597
866887.0000;26669;107.4290;5071
849563.0000;20945;84.6770;5137
837824.0000;10933;45.4700;5308
864835.0000;10463;43.1630;4713
848993.0000;11671;48.4180;4613
819816.0000;26637;108.3290;4445
935271.0000;22696;92.4640;5102
877259.0000;17764;71.6870;5000
787675.0000;13204;54.4480;5006
846486.0000;10403;43.6560;4970
992828.0000;16186;68.2150;5150
898572.0000;10694;43.5520;5273
827908.0000;15420;63.5610;4995
885465.0000;12450;51.3280;5052
959206.0000;14380;57.8470;4963
895836.0000;20874;84.8460;5175
875891.0000;15975;64.3280;4668
825286.0000;11941;49.1890;4852
825286.0000;17739;70.2120;5108
972769.0000;16864;68.0440;5090
909513.0000;20409;83.5670;4991
853780.0000;12308;49.6890;5113
690911.0000;14954;60.2050;5012
811495.0000;22469;88.2300;4904
1091416.0000;26822;104.9260;5069
765678.0000;11422;47.4160;5153
957382.0000;13708;54.8190;4786
880564.0000;15847;62.8710;5361
932536.0000;17332;69.8760;5007
838963.0000;21304;86.4440;5050
872814.0000;21824;103.8790;4910
770921.0000;13496;62.0990;5097
848537.0000;11892;53.1170;5125
897204.0000;22161;93.7360;5123
780950.0000;11635;50.1790;5240
873953.0000;12233;49.8060;5059
742769.0000;16570;66.1690;5084
958066.0000;37462;148.8780;4658
1018586.0000;12370;51.3320;4706
856515.0000;11679;49.3370;5005
1018928.0000;23660;95.1710;5077
830871.0000;11918;48.9020;5077
963423.0000;17170;69.1670;4872
840331.0000;16310;65.5130;5185
961485.0000;16699;67.2280;5116
754280.0000;15546;62.6580;5175
851956.0000;12214;50.8570;4887
896178.0000;11077;44.3330;5094
842952.0000;10932;45.6480;5005
833720.0000;11003;46.3180;5321
951684.0000;12034;50.7930;5181
908259.0000;19288;78.8330;4692
1012204.0000;14176;56.6550;5209
850931.0000;10703;43.2700;5050
864265.0000;11665;47.9320;5046
923418.0000;12398;52.2900;5220
869964.0000;17642;75.3400;4669
914300.0000;18350;76.7430;5124
915326.0000;20789;85.0030;4691
915440.0000;19441;77.8270;5038
907918.0000;16280;66.2340;5319
786307.0000;16750;66.8090;4891
828478.0000;15900;64.9150;5007
758156.0000;13468;54.2410;5151
904498.0000;18724;76.9740;5144
868824.0000;17908;79.4920;5101
865063.0000;13763;59.1250;4913
956357.0000;33851;136.7860;4989
926039.0000;20630;82.4530;5038
839305.0000;27477;111.9130;5022
793260.0000;23850;96.0220;5181
896748.0000;11991;50.5010;5369
833151.0000;22582;93.1640;4928
897888.0000;23511;97.6520;5281
859479.0000;10984;46.2360;4994
814003.0000;26803;106.8580;5136
858909.0000;21694;87.9380;4984
892417.0000;14521;59.3920;5229
671877.0000;25540;101.8610;5173
933448.0000;25204;100.3760;4892
840103.0000;21806;88.2050;5038
799186.0000;24020;99.1410;5144
839989.0000;20992;84.5910;4972
935157.0000;19759;79.5290;5201
934588.0000;24198;98.0100;4982
865633.0000;21299;87.8230;4866
824716.0000;10366;43.7680;5082
936639.0000;19439;80.9550;5056
954875.0000;10095;41.7180;5005
894697.0000;13334;53.7770;4757
890138.0000;10200;42.5730;5336
883869.0000;11608;47.5410;5452
888542.0000;12679;52.4000;4863
934246.0000;16649;68.7710;5136
894925.0000;12617;52.4440;5189
965816.0000;11471;49.1000;4996
893671.0000;10800;45.0920;5215
852640.0000;18952;76.2830;5126
854122.0000;12734;51.2100;5155

gr21.txt;2707;[0 6 7 5 15 4 8 2 1 20 14 13 12 17 9 16 18 19 10 3 11 0]  (2 zamiana) (chlodzenie logarytmiczne) (n=21)
960574.0000;22363;60.8670;5138
844434.0000;23807;63.5600;4913
857085.0000;10657;28.6370;5106
899483.0000;11772;32.0780;4947
788017.0000;16124;46.6230;5060
787675.0000;19936;63.3270;4929
890707.0000;35679;107.0530;4992
859137.0000;18263;53.4950;4520
913844.0000;26620;75.8700;4821
854122.0000;12811;36.7260;4874
868369.0000;17412;47.4260;4674
966614.0000;12059;33.4090;5246
986446.0000;14676;41.3020;5067
839077.0000;29047;77.9170;5054
956357.0000;14634;39.8020;5113
936525.0000;14103;41.0220;5082
802947.0000;16217;43.7890;4996
933448.0000;17965;49.8410;4986
921480.0000;20896;58.1840;5041
910311.0000;16306;46.5270;5175
849905.0000;12518;34.4140;5031
876917.0000;23506;65.7680;5222
866431.0000;15009;41.5150;4424
789385.0000;25774;70.4540;5125
882729.0000;14516;40.0110;5046
932650.0000;22484;63.6180;5118
940286.0000;13599;37.3810;5166
903359.0000;11876;32.7920;5334
888428.0000;16287;46.4240;4764
832353.0000;15089;41.9630;5024
847739.0000;12142;32.8610;5023
781064.0000;16065;46.8480;5179
886035.0000;23913;65.9170;5075
792918.0000;26837;72.1120;5058
864152.0000;20078;55.3860;5160
924900.0000;11921;34.2420;4972
743567.0000;10600;29.4930;4966
731828.0000;25048;70.1160;4949
892759.0000;12701;36.5410;5122
886832.0000;18997;52.7350;5276
834632.0000;15566;44.2940;4929
884325.0000;22239;60.0920;5137
926837.0000;14444;40.7460;4762
990663.0000;12553;35.1730;5047
834404.0000;12986;37.2690;5116
997273.0000;20135;54.0550;5192
848309.0000;15801;42.9790;4669
741401.0000;10084;27.7050;4991
906094.0000;11999;33.8570;4719
962625.0000;14243;40.1620;5077
828478.0000;19310;52.6260;5254
771605.0000;12584;34.1530;5340
856515.0000;18835;51.7500;5198
895380.0000;11256;30.3530;4986
792120.0000;19788;51.7440;5019
930712.0000;17264;46.5080;4897
826312.0000;15872;42.9860;5247
936525.0000;23193;64.7640;4871
904954.0000;30193;84.2980;4732
923988.0000;14679;41.5720;5206
892075.0000;19707;54.3010;5405
935955.0000;18583;50.4990;5228
807164.0000;33422;105.7820;4750
798958.0000;16163;49.5880;4667
869166.0000;13311;39.6080;5484
847739.0000;13020;37.3670;5428
982571.0000;20049;56.0900;4972
836798.0000;35205;96.7500;4693
912135.0000;12094;32.9270;5337
1060073.0000;24094;65.6120;5068
766590.0000;14655;41.2120;4931
950316.0000;11622;31.5230;5144
839191.0000;24257;66.0110;4886
785167.0000;15771;42.6270;4780
909285.0000;19248;52.9820;4998
806823.0000;10604;29.2620;5206
881931.0000;15031;44.0990;5011
841585.0000;20667;55.6780;5130
942452.0000;12459;33.9330;5355
856287.0000;23408;62.7270;4809
760321.0000;19142;51.9590;5044
847511.0000;28487;75.9190;4918
826084.0000;20828;58.5300;4801
897204.0000;13278;43.0330;4875
785737.0000;14675;50.0740;4999
824033.0000;18648;51.3180;4975
799756.0000;27961;76.7910;5135
804999.0000;13333;37.0680;5331
972769.0000;16623;45.5270;5212
759751.0000;11566;32.2960;5245
971629.0000;31676;88.8080;5171
1004910.0000;11670;32.9500;5388
763740.0000;10740;30.5950;5010
756902.0000;21379;57.7860;4503
991689.0000;23538;63.1670;5162
758612.0000;11535;33.9840;4985
921594.0000;25415;70.7880;4975
906436.0000;16472;45.1880;5194
872814.0000;29955;81.2940;4884
906892.0000;11374;31.6640;5322

gr21.txt;2707;[0 6 7 5 15 4 8 2 1 20 14 13 12 17 9 16 18 19 10 3 11 0]  (3 zamiana) (chlodzenie logarytmiczne) (n=21)
897432.0000;22045;89.0440;5241
734563.0000;17695;72.2410;5033
876347.0000;25049;103.0830;4918
906094.0000;23962;102.4320;5081
1015965.0000;27240;122.8130;4961
674271.0000;15417;66.4350;4719
768869.0000;18461;76.8400;4381
780153.0000;30705;128.4620;4920
863468.0000;12078;51.2540;5219
864835.0000;14581;58.1590;5341
737982.0000;11205;45.7570;4598
942452.0000;22074;90.0390;4956
952595.0000;11612;47.3480;5254
931738.0000;16674;66.8970;5176
871560.0000;27480;113.1720;4914
