Filename;Type;AS Type;Expected Distance;Best Distance;Avg Error[%];Avg Time[ms];Best Path
burma14.tsp;TSP;DAS;31;32;3.22581;24.6076;[0 10 8 9 1 13 2 3 4 5 11 6 12 7 0]
gr17.tsp;TSP;DAS;2085;2115;2.90647;42.1724;[0 15 11 8 4 1 9 10 2 14 13 16 6 7 5 12 3 0]
gr21.tsp;TSP;DAS;2707;2707;1.45179;72.1204;[0 11 3 10 19 18 16 9 17 12 13 14 20 1 2 8 4 15 5 7 6 0]
gr24.tsp;TSP;DAS;1272;1278;0.471698;108.045;[0 11 3 22 8 12 13 19 1 14 18 17 21 16 9 4 23 5 6 7 20 2 10 15 0]
bays29.tsp;TSP;DAS;2020;2036;2.75743;184.229;[0 27 5 11 8 4 25 28 2 1 20 12 9 19 3 14 17 13 16 21 10 18 15 24 6 22 26 7 23 0]
