Filename;Type;AS Type;Expected Distance;Best Distance;Avg Error[%];Avg Time[ms];Best Path
burma14.tsp;TSP;DAS;31;32;9.67742;17.9797;[0 7 12 6 5 11 4 3 2 13 1 9 8 10 0]
gr17.tsp;TSP;DAS;2085;2149;4.29736;27.7723;[0 6 7 5 16 2 10 4 1 9 14 13 12 3 8 11 15 0]
gr21.tsp;TSP;DAS;2707;2823;9.25009;49.5324;[0 11 3 10 19 18 16 9 17 12 13 14 1 20 2 8 4 15 5 7 6 0]
gr24.tsp;TSP;DAS;1272;1278;4.20597;72.0927;[0 15 10 2 20 7 6 5 23 4 9 16 21 17 18 14 1 19 13 12 8 22 3 11 0]
bays29.tsp;TSP;DAS;2020;2048;10.1931;120.677;[0 27 5 11 8 4 25 28 2 1 20 23 15 12 9 19 3 14 17 13 16 21 10 18 24 6 22 26 7 0]
