Filename;Type;AS Type;Expected Distance;Best Distance;Avg Error[%];Avg Time[ms];Best Path
burma14.tsp;TSP;DAS;31;31;2.25806;15.0165;[0 1 13 2 3 4 5 11 6 12 7 10 8 9 0]
gr17.tsp;TSP;DAS;2085;2085;0.407674;24.2006;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]
gr21.tsp;TSP;DAS;2707;2707;0.797931;41.6233;[0 6 7 5 15 4 8 2 1 20 14 13 12 17 9 16 18 19 10 3 11 0]
gr24.tsp;TSP;DAS;1272;1278;2.32704;59.0607;[0 11 3 22 8 12 13 19 1 14 18 21 17 16 9 4 23 5 6 7 20 2 10 15 0]
bays29.tsp;TSP;DAS;2020;2020;3.42079;95.7652;[0 27 5 11 8 4 25 28 2 1 19 9 3 14 17 16 13 21 10 18 24 6 22 26 7 23 15 12 20 0]
